2021-11-16 19:12:22.786 | INFO     | request id: None | base.data_connectors.PandasFileConnector:load - [PandasFileConnector] Data loaded (./data/or2/q1_data.csv) successfully.
2021-11-16 19:12:22.822 | INFO     | request id: None | __main__:build_and_run - Setting up model...
2021-11-16 19:12:22.823 | DEBUG    | request id: None | __main__:_set_parameters - Defining model indices and sets...
2021-11-16 19:12:22.824 | DEBUG    | request id: None | __main__:_set_parameters - Model indices and sets defined successfully.
2021-11-16 19:12:22.825 | DEBUG    | request id: None | __main__:_set_parameters - Defining model parameters...
2021-11-16 19:12:22.852 | DEBUG    | request id: None | __main__:_set_parameters - Model parameters defined successfully.
2021-11-16 19:12:22.853 | DEBUG    | request id: None | __main__:_set_parameters - Defining model decision variables...
2021-11-16 19:12:22.854 | DEBUG    | request id: None | __main__:_set_parameters - Model decision variables defined successfully.
2021-11-16 19:12:22.854 | DEBUG    | request id: None | __main__:_set_constraints - Defining model constraints...
2021-11-16 19:12:22.860 | DEBUG    | request id: None | __main__:_set_constraints - Model constraints defined successfully.
2021-11-16 19:12:22.860 | DEBUG    | request id: None | __main__:_set_objective_function - Defining model objective function...
2021-11-16 19:12:22.861 | DEBUG    | request id: None | __main__:_set_objective_function - Model objective function defined successfully.
2021-11-16 19:12:22.862 | INFO     | request id: None | __main__:build_and_run - Model setup completed successfully.
2021-11-16 19:12:22.862 | INFO     | request id: None | __main__:build_and_run - Solving model...
2021-11-16 19:12:22.882 | DEBUG    | request id: None | __main__:_solve_model - Solver starting...
2021-11-16 19:12:22.934 | DEBUG    | request id: None | __main__:_solve_model - Solver completed.
2021-11-16 19:12:22.934 | DEBUG    | request id: None | __main__:_solve_model - Solution is feasible and optimal
2021-11-16 19:12:22.936 | INFO     | request id: None | __main__:build_and_run - Model solved successfully.
2021-11-16 19:15:28.108 | DEBUG    | request id: None | base.data_connectors.PandasFileConnector:load - [PandasFileConnector] Data loading (./data/or2/q1_data.csv) initiated...
2021-11-16 19:15:28.108 | DEBUG    | request id: None | base.data_connectors.PandasFileConnector:_check_filetype - [_check_filetype] File extension detected as .csv
2021-11-16 19:15:28.112 | INFO     | request id: None | base.data_connectors.PandasFileConnector:load - [PandasFileConnector] Data loaded (./data/or2/q1_data.csv) successfully.
2021-11-16 19:15:28.126 | INFO     | request id: None | __main__:build_and_run - Setting up model...
2021-11-16 19:15:28.126 | DEBUG    | request id: None | __main__:_set_parameters - Defining model indices and sets...
2021-11-16 19:15:28.127 | DEBUG    | request id: None | __main__:_set_parameters - Model indices and sets defined successfully.
2021-11-16 19:15:28.127 | DEBUG    | request id: None | __main__:_set_parameters - Defining model parameters...
2021-11-16 19:15:28.137 | DEBUG    | request id: None | __main__:_set_parameters - Model parameters defined successfully.
2021-11-16 19:15:28.137 | DEBUG    | request id: None | __main__:_set_parameters - Defining model decision variables...
2021-11-16 19:15:28.138 | DEBUG    | request id: None | __main__:_set_parameters - Model decision variables defined successfully.
2021-11-16 19:15:28.138 | DEBUG    | request id: None | __main__:_set_constraints - Defining model constraints...
2021-11-16 19:15:28.140 | DEBUG    | request id: None | __main__:_set_constraints - Model constraints defined successfully.
2021-11-16 19:15:28.141 | DEBUG    | request id: None | __main__:_set_objective_function - Defining model objective function...
2021-11-16 19:15:28.141 | DEBUG    | request id: None | __main__:_set_objective_function - Model objective function defined successfully.
2021-11-16 19:15:28.141 | INFO     | request id: None | __main__:build_and_run - Model setup completed successfully.
2021-11-16 19:15:28.142 | INFO     | request id: None | __main__:build_and_run - Solving model...
2021-11-16 19:15:28.157 | DEBUG    | request id: None | __main__:_solve_model - Solver starting...
2021-11-16 19:15:28.190 | DEBUG    | request id: None | __main__:_solve_model - Solver completed.
2021-11-16 19:15:28.190 | DEBUG    | request id: None | __main__:_solve_model - Solution is feasible and optimal
2021-11-16 19:15:28.191 | INFO     | request id: None | __main__:build_and_run - Model solved successfully.
